FID_fishne,CPA_ID,area_km2,cap_MW,d_trans,d_sub,d_road,d_load_750,d_existing,d_EIA860fa,d_shore_m,m_seafloor,m_CF_MEAN,m_BOEM_lea,m_BOEM_pla,BathySlope,ocean_impa,HAPC_Area_,ocean_im_1,ocean_im_2,m_CF_wLoss,anngen_MWh,Shape_Leng,Shape_Area,major_port,turbine_ty,incap,ipm_region,prefSite,tech,metro_id,metro_region,cpa_mw,cf,path,resource_annuity,resource_fom,interconnect_annuity,lcoe,interconnect_capex_mw,total_interconnect_km,offshore_interconnect_km,ipm_region_y
31684,18916,16.0000002108,80.0,53.7639502139,78.3159658226,40.5935633836,163.21963272,92.4454810996,79.119305726,41.8955344512,-989.417192459,0.500158827752,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.44014,350511.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.4242588,"[18916, 308844]",321525.88,67317.94,85924.94,127.74596,1773878.2,403.858642578125,403.858642578125,p10
31705,18919,16.0000002107,80.0,56.2728020575,84.524706241,36.5607369365,152.401048077,84.491897758,78.8670852551,37.0171001232,-951.376562119,0.503324534744,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.442926,352730.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.4182448,"[18919, 308844]",321525.88,67317.94,86791.016,129.81921,1791758.1,415.858642578125,415.858642578125,p10
31759,18924,16.0000002104,80.0,64.6107344348,83.9559288509,36.5296078658,143.740611668,81.0070096651,81.2573434278,36.7808951905,-1056.90937614,0.513219689019,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.451633,359664.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.42825893,"[18924, 308844]",321525.88,67317.94,87776.69,127.04635,1812106.8,429.5155029296875,429.5155029296875,p10
31767,18925,16.0000002114,80.0,45.5064246563,69.3729546403,33.66600737,163.75326596,89.9141150918,71.6223628751,34.2802462735,-950.653123856,0.488849326503,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.430187,342586.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.41126412,"[18925, 308844]",321525.88,67317.94,85397.07,131.63582,1762980.9,396.5449523925781,396.5449523925781,p10
31794,18929,5.26017606236,26.3009,61.4816055,82.9011074148,50.1415510329,173.875627816,103.758517325,86.1033001103,50.7172088563,-1182.85790373,0.506894102222,0.0,1.0,0.0,1.0,5750000.0,32.7936,33.7936,0.446067,116786.0,9354.75308738,5260152.83888,0,floating,42.08122271107272,WEC_CALN,1,offshorewind,31080,p10,42.081223,0.42426246,"[18929, 308844]",321525.88,67317.94,85618.42,127.66238,1767550.5,399.6117248535156,399.6117248535156,p10
31826,18935,16.0000002088,80.0,79.4339053264,105.146286213,58.7845874722,164.551504654,104.329234359,102.86382108,59.4608422308,-1330.75469971,0.523498483002,0.0,1.0,0.0,1.0,750000.0,1.40625,2.40625,0.460679,366868.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.42717418,"[18935, 308844]",321525.88,67317.94,87508.52,127.2973,1806570.6,425.7997741699219,425.7997741699219,p10
31858,18937,16.0000002097,80.0,68.9217581972,94.8191030986,46.1386377556,154.704391942,91.9907198882,91.0180695485,46.8135260169,-1072.47656059,0.517653440125,0.0,1.0,0.0,1.0,4250000.0,7.96875,8.96875,0.455535,362772.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.428225,"[18937, 308844]",321525.88,67317.94,87438.46,126.96625,1805124.4,424.8292236328125,424.8292236328125,p10
31859,18938,16.0000002091,80.0,75.1171934196,98.400325278,52.0149074868,152.409893365,95.172806826,95.4232467735,52.0428967918,-1186.37187576,0.52449485939,0.0,1.0,0.0,1.0,3000000.0,5.625,6.625,0.461555,367566.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.42817277,"[18938, 308844]",321525.88,67317.94,88255.02,127.19944,1821981.8,436.1429443359375,436.1429443359375,p10
31920,18942,16.000000211,80.0,57.1682344331,73.2293224468,27.17606056,132.835529884,70.1271905015,70.3775761294,26.7482643641,-1019.19687462,0.50464918837,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.444091,353658.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.41920266,"[18942, 308844]",321525.88,67317.94,88114.91,129.8831,1819089.2,434.2018127441406,434.2018127441406,p10
31957,18947,15.6601505314,78.3008,37.564704543,58.6754748385,28.9349244667,168.569882847,91.53021468,63.6088798054,28.9785734599,-905.044263496,0.477913541383,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.420564,327808.0,15517.5242373,15660618.5591,0,floating,125.28494847240144,WEC_CALN,1,offshorewind,31080,p10,125.28495,0.4022519,"[18947, 308844]",321525.88,67317.94,84580.516,134.35332,1746123.4,385.2312622070313,385.2312622070313,p10
31973,18949,16.0000002091,80.0,67.8129124226,95.506924903,48.9812566471,145.960255647,92.0241369854,92.2746727226,49.641266766,-1112.08281136,0.526728782803,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.463521,369132.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.42811805,"[18949, 308844]",321525.88,67317.94,88832.414,127.36965,1833901.8,444.1429443359375,444.1429443359375,p10
31979,18950,15.5445166473,77.7226,51.6222833776,79.2504139439,35.0786515618,154.280316633,84.0439223139,74.8531698763,35.6170984877,-911.270313263,0.49675666308,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.437146,338217.0,15678.689588,15544404.1356,0,floating,124.3552330850804,WEC_CALN,1,offshorewind,31080,p10,124.35523,0.41823563,"[18950, 308844]",321525.88,67317.94,86390.21,129.71266,1783483.8,410.3053588867187,410.3053588867187,p10
31994,18951,16.0000002107,80.0,61.0794086432,80.4368788729,32.5822973454,141.772742108,77.57601464,77.8263154219,32.9653947902,-1021.2046833,0.507767578587,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.446835,355844.0,16000.0,16000000.0,0,floating,128.0,WEC_CALN,1,offshorewind,31080,p10,128.0,0.420244,"[18951, 308844]",321525.88,67317.94,87657.1,129.4369,1809638.0,427.858642578125,427.858642578125,p10
